--省政府各部门--,#
江苏省发展和改革委员会,http://www.jsdpc.gov.cn/
江苏省经济和信息化委员会,http://www.jseic.gov.cn
江苏省教育厅,http://www.ec.js.edu.cn/
江苏省科学技术厅,http://www.jstd.gov.cn/
江苏省民族事务委员会,http://www.jsmzzj.gov.cn/
江苏省公安厅,http://www.jsga.gov.cn/
江苏省监察厅,http://www.jssjw.gov.cn/
江苏省民政厅,http://www.jsmz.gov.cn/
江苏省司法厅,http://www.jssf.gov.cn/
江苏省财政厅,http://www.jscz.gov.cn/
江苏省人力资源和社会保障厅,http://www.jshrss.gov.cn/
江苏省国土资源厅,http://www.jsmlr.gov.cn/
江苏省环境保护厅,http://www.jshb.gov.cn/jshbw/
江苏省住房和城乡建设厅,http://www.jscin.gov.cn/
江苏省交通运输厅,http://www.jscd.gov.cn/
江苏省农业委员会,http://www.jsagri.gov.cn/
江苏省水利厅,http://www.jswater.gov.cn/
江苏省商务厅,http://www.jsdoftec.gov.cn/
江苏省文化厅,http://www.jscnt.gov.cn
江苏省卫生和计划生育委员会,http://www.jswst.gov.cn:8083/wsxx/nrglIndex.action?catalogID=4028816b2ba99317012ba99950740003&type=1
江苏省审计厅,http://www.jssj.gov.cn/
江苏省人民政府外事办公室,http://www.jsfao.gov.cn/
江苏省国资委,http://www.jssasac.gov.cn/
江苏省地方税务局,http://www.jsds.gov.cn/
江苏省工商行政管理局,http://www.jsgsj.gov.cn/baweb/show/sj/index.jsp
江苏省质量技术监督局,http://www.jsqts.gov.cn/zjxx/
江苏省广播电影电视局,http://www.jsgd.gov.cn/
江苏省新闻出版广电局（版权局）,http://www.jsxwcbj.gov.cn/index
江苏省体育局,http://www.jssports.gov.cn/
江苏省安全生产监督管理局,http://www.jssafety.gov.cn/main/
江苏省统计局,http://www.jssb.gov.cn/
江苏省旅游局,http://www.jstour.gov.cn/
江苏省粮食局,http://www.jsgrain.gov.cn/
江苏省海洋与渔业局,http://www.jsof.gov.cn/
江苏省省级机关事务管理局,http://www.jsglj.gov.cn/
江苏省物价局,http://www.jswjj.gov.cn/
江苏省民防局（人防办）,http://www.jsrf.gov.cn/
江苏省食品药品监督管理局,http://www.jsfda.gov.cn/
江苏省人民政府法制办公室,http://www.jsfzb.gov.cn/
江苏省政务侨务办公室,http://www.jsqw.com/html/index.html
江苏省知识产权局,http://jsip.gov.cn/
江苏省监狱管理局,http://www.jsjy.gov.cn/zwgk/html/index.html
江苏省测绘地理信息局,http://www.jschj.gov.cn/
江苏省林业局,http://www.jsforestry.gov.cn/
江苏省国家税务局,http://www.js-n-tax.gov.cn/
中国人民银行南京分行,http://nanjing.pbc.gov.cn/
南京海关,http://nanjing.customs.gov.cn
江苏省检验检疫局,http://www.jsciq.gov.cn/2012/index.shtml
江苏省地震局,http://www.js-seism.gov.cn/
江苏省气象局,http://www.jsmb.gov.cn/
江苏省通信管理局,http://www.jsca.gov.cn/
江苏省邮政管理局,http://js.spb.gov.cn/
江苏省海事局,http://www.js-msa.gov.cn/
中国银监会江苏监管局,http://www.cbrc.gov.cn/jiangsu/pcjgMore/600808/left.html
中国证监会江苏监管局,http://www.csrc.gov.cn/pub/jiangsu/
中国保监会江苏监管局,http://www.circ.gov.cn/web/site24/
江苏省档案局,http://www.dajs.gov.cn/
江苏电监办,http://jsb.nea.gov.cn/
--省公共企事业单位--,#
江苏省社会科学院,http://www.jsass.org.cn/
江苏省农业科学院,http://home.jaas.ac.cn/
江苏省供销合作社,http://www.jsco-op.gov.cn/gxhzs/default.aspx
江苏省电力公司,http://www.js.sgcc.com.cn/
江苏省交通控股有限公司,http://www.jchc.cn/
南京禄口机场有限公司,http://www.njiairport.com/
江苏省农村信用合作联社,http://www.jsnx.net
江苏省沿海开发集团,http://www.jsyhkf.com/
华泰证券股份有限公司,http://www.htsc.com.cn/htzq/index/index.html
江苏省广电网络公司,http://www.jscnnet.com/
江苏省广播电视总台,http://www.jsbc.com/
江苏省演艺集团有限公司,http://www.jsyanyi.cn/
江苏省农业资源开发局,http://www.jsacd.gov.cn/
江苏省烟草公司,http://www.tobacco.gov.cn/
中国电信江苏分公司,http://www.chinatelecom.com.cn/sfzq/js/
中国移动江苏分公司,http://www.js.10086.cn/
中国联通江苏分公司,http://www.chinaunicom.com.cn/city/jiangsu/index.html
江苏出版集团有限公司,http://www.ppm.cn/
中国农业银行江苏分行,http://www.abchina.com/cn/branch/js/
